mid,helvol,geomvol
mp-780764,2.435,225.045
mp-767699,0.000,56.484
mp-850410,0.000,68.689
mp-759987,0.000,135.902
mp-850438,0.000,23.563
mp-753266,4.029,109.502
mp-754509,0.000,22.871
mp-771979,0.000,71.948
mp-776970,0.102,146.530
mp-758455,28.469,389.535
mp-756478,3.203,69.536
mp-776151,1.143,113.970
mp-849784,2.978,139.693
mp-754496,0.004,163.012
mp-755944,0.000,28.325
mp-27046,0.000,8.267
mp-756295,0.000,74.226
mp-25889,0.000,233.142
mp-673029,12.272,209.739
mp-757835,0.000,32.215
mp-767706,1.266,93.341
mp-775302,0.602,235.286
mp-763560,0.106,74.456
mp-684489,0.000,113.164
mp-26364,0.547,157.802
mp-752971,0.001,77.713
mp-26402,0.113,269.536
mp-510536,0.000,21.968
mp-568466,0.970,20.724
mp-760096,0.157,115.891
mp-780604,0.000,181.237
mp-755993,0.000,65.088
mp-766395,9.985,186.302
mp-27085,7.992,295.355
mp-774791,0.000,65.344
mp-752756,0.000,46.006
mp-1775,1.285,21.552
mp-771819,0.056,118.041
mp-31817,0.001,132.278
mp-705154,2.093,187.512
mp-778197,0.000,47.472
mp-762326,0.451,43.407
mp-25447,0.000,40.867
mp-697813,0.100,200.587
mp-850969,0.000,73.096
mp-25321,0.000,26.330
mp-26628,0.924,97.261
mp-16933,0.000,30.152
mp-753851,0.011,59.025
mp-775128,0.379,120.266
mp-762454,0.830,17.354
mp-697807,1.443,207.756
mp-510708,0.000,36.134
mp-776347,9.077,187.051
mp-863409,0.000,46.189
mp-781081,0.000,45.460
mp-26172,0.000,69.661
mp-705381,0.244,295.529
mp-26614,0.003,102.080
mp-761161,2.529,69.521
mp-26600,2.557,193.910
mp-764019,0.000,33.049
mp-705395,0.322,297.298
mp-32113,1.220,128.429
mp-759373,0.533,88.885
mp-752540,0.000,67.207
mp-760294,0.005,210.764
mp-756726,0.000,59.259
mp-779909,0.000,38.248
mp-766829,0.000,204.611
mp-684106,0.000,100.744
mp-26199,0.000,88.920
mp-754643,0.000,23.456
mp-770905,0.000,68.695
mp-19433,0.000,26.508
mp-757410,6.530,56.895
mp-756068,0.000,66.936
mp-757406,0.002,99.034
mp-755577,0.000,40.841
mp-705340,0.000,95.022
mp-753106,0.000,64.328
mp-705354,14.906,164.598
mp-753112,0.107,52.726
mp-758047,0.000,163.258
mp-757374,0.959,111.343
mp-12564,2.147,24.052
mp-757412,0.000,29.418
mp-850980,0.000,79.184
mp-19431,0.000,31.390
mp-705432,3.062,236.888
mp-26819,0.234,101.084
mp-761188,0.000,205.920
mp-758709,0.000,119.329
mp-849547,0.000,40.638
mp-754899,1.154,61.668
mp-774591,0.000,178.771
mp-754641,0.147,14.699
mp-684104,16.632,229.825
mp-18713,0.417,86.648
mp-761177,0.000,76.242
mp-775102,0.399,145.039
mp-26616,1.177,119.460
mp-26164,17.396,170.506
mp-775116,0.000,32.559
mp-18934,0.000,51.006
mp-771370,0.000,36.467
mp-760255,0.115,142.061
mp-756081,0.000,22.938
mp-585261,0.006,98.785
mp-776423,4.894,158.436
mp-752595,0.000,38.126
mp-849779,26.018,252.179
mp-776812,0.000,170.008
mp-757610,0.013,163.448
mp-756268,0.000,23.285
mp-753310,0.000,31.133
mp-766383,0.531,78.819
mp-31829,1.403,186.465
mp-770287,1.764,78.684
mp-759615,0.000,97.716
mp-771199,0.000,22.158
mp-780612,0.000,358.777
mp-774793,0.802,86.509
mp-25848,0.838,97.253
mp-850200,0.000,31.453
mp-758279,0.265,107.022
mp-777271,0.000,106.492
mp-26372,0.000,60.273
mp-752967,0.000,45.485
mp-768437,0.244,91.030
mp-771172,0.000,33.003
mp-673017,0.000,49.418
mp-752973,2.776,41.679
mp-763238,0.000,55.906
mp-766426,0.000,90.123
mp-760057,0.000,115.751
mp-757837,0.000,32.149
mp-760043,0.000,46.903
mp-849792,0.000,109.656
mp-27044,0.000,16.936
mp-755946,0.000,40.374
mp-770495,0.000,51.926
mp-757994,0.000,106.728
