Battid,helvol,geomvol
mp-1046562,0.000,7.856
mp-1046666,0.001,32.819
mvc-5112,0.000,35.647
mvc-10214,0.000,160.145
mvc-8398,0.000,20.733
mp-1043826,0.160,222.704
mp-1048765,0.000,23.286
mp-1047608,0.000,134.831
mvc-11840,0.000,28.355
mvc-78,0.000,54.982
mp-19541,4.524,121.205
mvc-2979,0.903,56.050
mp-1041261,6.118,191.354
mp-1044170,1.729,80.409
mp-1042090,0.000,0.000
mvc-5721,0.000,43.610
mp-1041097,0.017,128.637
mvc-91,0.003,79.478
mp-1043550,0.000,176.238
mvc-5659,0.042,52.686
mp-774537,2.880,119.830
mvc-12638,0.000,29.958
mp-1047421,2.196,89.192
mvc-6187,0.009,119.294
mvc-15870,12.710,91.795
mp-1048114,0.000,126.171
mp-1041475,0.001,152.115
mp-19003,0.000,64.975
mp-1045799,0.140,125.191
mp-1040902,0.079,143.143
mp-1048837,0.001,104.892
mp-775220,0.000,63.781
mvc-11572,0.314,45.280
mp-1041889,0.000,34.262
mp-1047285,0.000,47.841
mp-1045474,0.082,82.267
mp-1046746,2.765,80.044
mvc-5627,0.000,64.949
mvc-11142,0.004,36.918
mp-1118309,0.000,34.680
mvc-12592,0.000,27.243
mp-1043501,2.000,62.459
mvc-8414,0.000,91.153
mp-1041062,0.067,161.165
mp-1047222,0.436,22.441
mp-1041461,0.000,86.611
mp-1042860,1.177,153.610
mp-1044309,1.821,111.885
mp-32006,0.224,43.491
mp-19202,0.834,39.681
mvc-11244,0.000,45.763
mp-1043183,0.000,20.924
mp-1042060,0.000,41.082
mp-1045937,0.000,36.143
mp-1047920,1.367,142.016
mvc-11380,2.767,279.104
mp-1042747,1.681,174.542
mvc-2949,0.939,52.698
mp-555257,0.000,55.291
mvc-3728,0.921,55.123
mp-1042695,0.000,42.336
mp-1042428,0.000,117.688
mp-1047300,6.690,53.604
mp-1044474,0.001,59.946
mp-32442,0.000,74.116
mp-1041231,1.051,103.219
mp-1041282,1.127,200.773
mvc-8359,1.358,52.954
mvc-12012,0.000,23.830
mvc-12727,0.000,39.847
mp-1041088,0.000,90.907
mp-1042921,0.088,77.170
mp-1041705,11.441,177.571
mvc-14034,0.890,63.862
mp-1043875,0.000,23.958
mp-1045826,0.000,45.287
