Battid,Discharged_ID,Charged_ID,Reduced_Cell_Formula,Type,Spacegroup,Average_Voltage,Capacity_Grav,Capacity_Vol,Specific_E_Wh/kg,E Density Wh/l,Stability Charge,Stability Discharge
mvc-1200009179,mp-1042772,mp-1042757,Mg0 –1BiMoO5,intercalation,P21/c,3.04,131,718,398,2185,0.19,0.07
mvc-1200000857,mp-1043564,mp-540500,MgV3(P2O7)2,intercalation,P21/c,1.28,102,348,130,444,0.02,0.07
mvc-1200012895,mp-1045982,mvc-12205,Mg0 –0.5NiO2,intercalation,Pnmm,3.11,261,1250,811,3891,0.09,0.07
mvc-1200008645,mp-1043529,mp-694554,MgCo(Si2O5)2,intercalation,P4/ncc,3.33,151,450,502,1500,0.16,0.07
mvc-1200004981,mvc-4650,mvc-4715,Mg0 –2CrWO6,intercalation,P21/c,3.07,282,1687,865,5178,0.23,0.07
mvc-1200011618,mp-1042977,mp-1043373,Mg0 –0.5CoO2,intercalation,Pnmm,3,260,1299,779,3890,0.02,0.07
mvc-1200002315,mp-1043548,mp-1043700,Mg0 –2Ni9O13,intercalation,C2/m,3.76,137,781,513,2935,0.2,0.07
mvc-1200006900,mp-1041848,mp-776137,Mg0 –0.5VO2,intercalation,Imma,2.11,282,1131,594,2385,0.1,0.07
mvc-1200000880,mp-1043704,mp-540180,MgCr3(P2O7)2,intercalation,P21/c,1.58,101,338,161,534,0.04,0.07
mvc-1200010049,mp-1040887,mp-1044910,Mg0 –0.5VPO4,intercalation,C2/c,2.13,170,574,361,1221,0.17,0.07
mvc-1200008078,mp-1042940,mp-1042928,MgFe2(MoO4)3,intercalation,P1,2.89,128,483,370,1395,0.17,0.07
mvc-1200008311,mp-1043062,mp-1043303,MgFe4(CuO4)3,intercalation,Im3,3.11,85,436,265,1358,0.07,0.07
mvc-1200010150,mp-1041004,mp-1040967,Mg0 –0.5CrO2,intercalation,P3m1,3.31,279,1162,922,3843,0.19,0.08
mvc-1200003430,mvc-3430,mvc-3518,Mg0 –1BiF5,intercalation,P21/c,4.68,163,771,764,3605,0,0.08
mvc-1200000838,mp-1043253,mvc-12005,Mg0 –0.5Fe2O3,intercalation,Cmcm,2.58,156,777,402,2001,0.25,0.08
mvc-1200000321,mp-1046590,mp-1046793,Mg0 –0.5Ti2O3,intercalation,Cmcm,0.75,172,814,128,606,0.13,0.08
mvc-1200008926,mp-1043837,mp-1043703,MgTiSb(PO4)3,intercalation,R3c,1.88,112,393,211,740,0,0.08
mvc-1200008320,mp-1040910,mp-1043067,MgCo4(CuO4)3,intercalation,Im3,2.93,83,496,244,1452,0.06,0.08
mvc-1200008322,mp-1043121,mvc-12083,MgMn4(CuO4)3,intercalation,Im3,2.72,86,450,232,1222,0.05,0.08
mvc-1200007843,mvc-12083,mp-1042629,Mg0 –1BiMoO5,intercalation,Pcab,3.12,131,806,409,2518,0.22,0.08
mvc-1200000078,mvc-78,mvc-11244,Mg0 –0.5CoS2,intercalation,Fd3m,1.42,198,755,281,1072,0.1,0.08
mvc-1200006914,mvc-11244,mvc-13696,Mg0 –0.5NiO2,intercalation,Ibmm,3.6,261,1254,939,4519,0.27,0.08
mvc-1200003281,mvc-13696,mp-1046704,Mg0 –1VPO5,intercalation,P1,2.4,288,991,692,2382,0.01,0.08
mvc-1200012117,mvc-12117,mvc-5816,Mg0 –0.5CoO2,intercalation,Pmnb,2.95,260,1445,768,4271,0.03,0.08
mvc-1200008280,mp-1043103,mp-1043619,Mg0 –1FeNiP2O9,intercalation,Pmcn,4.15,155,554,645,2297,0.18,0.08
mvc-1200010447,mp-1041375,mvc-10961,Mg0 –1V4O9,intercalation,P4/n,2.83,144,518,408,1469,0.13,0.09
mvc-1200001904,mvc-10961,mp-1045643,Mg0 –2Ti9O13,intercalation,C2/m,0.72,156,746,113,540,0.14,0.09
mvc-1200012394,mvc-12394,mvc-12466,Mg0 –0.5TiO2,intercalation,Pnmm,0.96,291,1161,279,1114,0.15,0.09
mvc-1200008653,mp-1043519,mp-1043652,MgV(Si2O5)2,intercalation,P4/ncc,2.06,154,442,318,911,0.16,0.09
mvc-1200008341,mp-1043183,mp-1043320,MgCu3(NiO3)4,intercalation,Im3,3.32,84,474,277,1572,0.1,0.09
mvc-1200005026,mvc-5026,mp-1117059,Mg0 –1WO3,intercalation,Pbnm,1.59,209,1566,332,2483,0,0.09
mvc-1200009041,mp-1117059,mp-1044170,Mg0 –0.5CrPO5,intercalation,Fddd,3.82,153,553,584,2111,0.13,0.09
mvc-1200000786,mp-1042648,mp-1043363,Mg0 –0.5Mn2O3,intercalation,Cmcm,2.78,158,744,438,2064,0.22,0.09
mvc-1200015888,mvc-15888,mp-1045734,Mg0.5 –1VO3,intercalation,Pbnm,2.47,217,894,537,2209,0.1,0.09
mvc-1200000457,mp-1046958,mp-1047057,MgSn3(P2O7)2,intercalation,P21/c,1.39,74,288,102,399,0.03,0.09
mvc-1200002276,mp-1045866,mp-1045833,Mg0 –2Mn9O13,intercalation,P1,2.76,143,673,394,1860,0.22,0.09
mvc-1200015888,mvc-15888,mp-1045734,Mg0.5 –1VO3,intercalation,Pbnm,2.47,217,894,537,2209,0.1,0.09
mvc-1200003394,mp-1046728,mvc-2979,Mg0 –1MnF4,intercalation,P1,4.77,345,1296,1646,6178,0.32,0.09
mvc-1200006406,mp-1047659,mvc-14931,Mg0 –0.5MnO2,intercalation,Cmcm,3.06,270,1258,829,3853,0.2,0.09
