mid,energy,energy_per_atom,volume,formation_energy_per_atom,nsites,band_gap,density,total_magnetization,elasticity
mp-32343,-225.83058293,-6.6420759685294115,447.80565393369193,-2.1682461763865546,34,0.4399,2.778021137035596,2.00000035,2.778021137035596
mvc-11923,-120.05212361,-6.318532821578947,257.81570882148577,-2.411799217857143,19,0.0,4.797210601235517,1.9886505,4.797210601235517
mp-690058,-275.45777878,-6.886444469500001,509.79734390428604,-2.268535969803571,40,0.18420000000000003,2.993915033106243,4.00018685,2.993915033106243
mp-25595,-54.75848014,-4.563206678333334,125.2307760218552,-0.5353567158333341,12,1.4989000000000001,4.810253310167325,2.6525e-05,4.810253310167325
mp-32527,-245.77394608,-7.228645472941176,447.5836733787897,-2.5320185307983203,34,1.2794999999999999,2.7218796823995666,1.00020435,2.7218796823995666
mp-1043316,-102.04781776,-5.669323208888889,226.79722424423178,-1.4179905452777777,18,0.0,4.3925719583286345,1.31054775,4.3925719583286345
mp-1042331,-535.86955843,-7.442632755972222,1013.7822056672915,-2.5839039113566664,72,0.798,2.713850567875822,2.98819075,2.713850567875822
mp-558836,-34.43367259,-4.919096084285714,141.0204476530221,-2.65414696102,7,4.2538,2.471965325361063,8.7e-06,2.471965325361063
mvc-11581,-87.06468391,-7.255390325833333,138.92032905493193,-1.8919970933333339,12,0.0,4.016023041688708,1.99999985,4.016023041688708
mp-1042286,-506.8203638,-7.039171719444444,1017.5916549110941,-2.429598960277777,72,0.8842000000000001,2.7558463371663957,4.9440099375,2.7558463371663957
mp-1043501,-113.25561961,-6.291978867222222,239.20386239916442,-1.8062287791666662,18,0.0,4.12519830884787,4.0063999,4.12519830884787
mp-80,-7.69503163,-3.847515815,54.818138895299086,0.28024546000000017,2,0.0,7.3766544280743,2.025e-05,7.3766544280743
mvc-14468,-242.02149333,-6.914899809428571,492.56706929171725,-2.042410606857143,35,0.0,3.159886004956191,16.0000007,3.159886004956191
mp-1044382,-254.36669182,-7.481373288823529,464.96229256387386,-2.625545684005602,34,0.0,2.748341314006954,0.96280135,2.748341314006954
mp-1045799,-232.43832054,-6.836421192352941,456.2746373392617,-2.2673607949159664,34,0.0,2.7282032529554394,3.94504175,2.7282032529554394
mp-689964,-265.77496595,-6.644374148750001,539.7914325392825,-2.0755493020535716,40,0.3529,2.8655553088694874,4.999838,2.8655553088694874
mp-55,-3.95481635,-3.95481635,27.82335208887084,0.05458109500000008,1,0.0,7.084789381551467,3e-07,7.084789381551467
