mid,energy,energy_per_atom,volume,formation_energy_per_atom,nsites,band_gap,density,total_magnetization,elasticity
mp-849565,-726.60136949,-7.41429968867347,1503.9770582675835,-2.2819444549234698,98,2.314,2.8113884750365106,7.285714285714287e-07,2.8113884750365106
mp-1209267,-45.66834216,-5.07426024,163.41752314491242,-3.07941900864774,9,0.0,3.4128599991384254,0.9999999,3.4128599991384254
mvc-12283,-511.22933478,-7.1004074274999995,784.3507075436993,-1.7899975969866668,72,0.8253999999999999,4.417269685567612,3.000007420833333,4.417269685567612
mp-767534,-151.19030697,-6.29959612375,300.92618990971846,-2.049906991345239,24,0.0,2.9191358071433124,2.00000045,2.9191358071433124
mp-757045,-143.81210039,-7.5690579152631585,207.58322698796528,-2.473301055526317,19,0.0,4.952727317916451,1.9187918,4.952727317916451
mvc-11034,-141.89252523,-7.46802764368421,202.51240541489847,-2.4889029848245614,19,0.0,4.707432457108221,0.0103418,4.707432457108221
mp-25378,-28.36471195,-4.727451991666666,68.31244059098998,-0.5434111075000002,6,0.0,4.645006651684987,0.98650075,4.645006651684987
mp-771032,-142.02911739,-5.91787989125,323.8461827014831,-1.7316868090833346,24,0.0,3.1632258536211766,1.9999862,3.1632258536211766
mp-771168,-154.53343735,-6.4388932229166675,346.9428261950825,-2.204664467000002,24,0.0,3.8964669925556836,4.25e-06,3.8964669925556836
mp-770900,-145.04316138,-6.592870971818181,322.4532866760631,-1.8405962173145456,22,1.0822,2.851452121055157,3.0000004,2.851452121055157
mp-769633,-149.47110136,-6.794140970909091,313.520023621003,-2.1318312742402608,22,0.06999999999999995,2.4767731457471815,3.9999931,2.4767731457471815
mp-714929,-43.36361071,-7.227268451666667,69.9206403965971,-1.8684237041666674,6,0.3417999999999999,3.989574747020882,0.00121415,3.989574747020882
mp-714904,-73.12417694,-6.093681411666666,147.237776765357,-1.367127660833334,12,0.0,3.9627889669758365,9.1925e-05,3.9627889669758365
mp-772999,-151.50463862,-6.312693275833333,353.6974924312137,-2.290710102243057,24,0.0746,3.8107902997437186,3.97e-05,3.8107902997437186
mp-780892,-351.81647628,-6.515119931111111,699.679730597718,-1.8492070802962972,54,0.0,2.7653694697906053,10.9999991,2.7653694697906053
mp-25205,-148.11110424,-6.439613227826087,287.2852137512852,-2.032328763152175,23,0.0,3.780557057778909,0.9981177,3.780557057778909
mp-1178257,-325.95679593,-6.935250977234043,595.9089356757115,-2.2839433816413375,47,0.018100000000000005,3.2064611531940472,32.0,3.2064611531940472
mp-697730,-326.27652118,-7.09296785173913,653.6740127413469,-2.2365757744109307,46,0.0,2.767418942815219,9.0004749,2.767418942815219
mp-769570,-350.89652849,-6.74801016326923,685.8792204615557,-1.9248102382939556,52,0.04710000000000003,2.4968943427219346,7.9999998,2.4968943427219346
mp-27420,-33.7290308,-4.21612885,133.73225031819538,-2.4961354420799995,8,2.7096,4.295755601999701,0.0001427,4.295755601999701
mvc-14931,-332.34360702,-6.92382514625,524.3441760444779,-1.6134153157366657,48,0.0371999999999999,4.4051073850297335,3.00001724375,4.4051073850297335
mp-705395,-613.83165315,-6.975359694886364,1203.3491087983766,-2.3291825189691555,88,0.04079999999999999,2.9332980443651753,14.056066375,2.9332980443651753
mp-1176416,-143.26857885,-5.969524118750001,386.98935274308377,-2.012330563493057,24,0.16440000000000002,3.884895818467976,0.99999995,3.884895818467976
mvc-12040,-88.20950108,-7.350791756666666,146.47442816808802,-1.9919470091666664,12,0.12249999999999994,3.8089054138743763,1.999999975,3.8089054138743763
mp-769520,-319.00301131,-6.934848071956521,621.6999388213387,-2.2647458402045966,46,0.8269,2.6111674314697524,6.9999996,2.6111674314697524
mp-771773,-152.44126177,-6.351719240416667,366.9671359528727,-2.3310296349216286,24,0.03279999999999994,3.699129932420906,1.0,3.699129932420906
mp-779161,-340.46363757,-6.304882177222222,751.3865668261913,-2.1955761053233034,54,0.07789999999999997,3.718132616500344,0.0,3.718132616500344
mvc-11548,-25.21847398,-6.304618495,49.298515781267426,-1.2288811365624994,4,0.0,3.3681427583782537,1e-07,3.3681427583782537
mp-777623,-365.79371699,-6.7739577220370375,691.638047652874,-2.022129564962315,54,0.23270000000000002,2.583025500267822,7.99997595,2.583025500267822
mp-779142,-338.99776482,-6.2777363855555555,664.0090354726608,-1.7762124387800928,54,0.007199999999999984,2.776609950885205,3.9957835,2.776609950885205
mvc-10873,-86.70198359,-7.225165299166666,146.30835820081893,-1.8663205516666668,12,0.29590000000000005,3.8132287813510652,1.999999875,3.8132287813510652
mp-1101670,-145.02070179,-6.591850081363637,295.38006525546524,-1.9741618874220783,22,0.23670000000000002,2.663599221563347,2.99999985,2.663599221563347
mp-771217,-353.22238832,-6.541155339259259,692.1353239586684,-1.883380283153439,54,0.0,2.6142735025782873,6.3025623,2.6142735025782873
mp-1176437,-91.44137703,-5.715086064375,224.15699761507273,-2.7800736867575,16,0.5284,3.31677424510724,4.000001075,3.31677424510724
mp-768121,-146.05060072,-6.638663669090909,340.81065954368546,-2.121761667876625,22,0.0,2.9207620387651856,1.3e-06,2.9207620387651856
mp-504265,-151.05183163,-6.293826317916667,286.3142003970269,-1.8913684207738097,24,0.36129999999999995,3.6774182734045873,0.0,3.6774182734045873
mp-558111,-44.17714768,-4.9085719644444445,165.02600149738407,-2.90470920319885,9,3.3104,3.41980985890949,3.0000005,3.41980985890949
mp-1142713,-135.71239831,-7.539577683888889,203.75987931106715,-2.6854082853844443,18,0.9207000000000001,3.375607386320174,3.00000005,3.375607386320174
mp-32113,-258.65999237,-7.184999788055555,523.6928531586348,-2.4163627519543645,36,1.1505,3.125125031686528,0.99996935,3.125125031686528
mp-540093,-161.40108095,-6.725045039583333,392.040539607161,-2.1331367974404762,24,1.0987,2.6075316148527934,3.999999925,2.6075316148527934
mp-1178258,-131.14757128,-6.5573785639999995,291.39521513418146,-1.7572156314062504,20,0.8479000000000001,2.415246395230747,4.00004965,2.415246395230747
mvc-12901,-107.72653631,-4.488605679583333,231.32624191055186,-0.46624339208333393,24,0.8108,5.208157534732975,8.75e-08,5.208157534732975
mp-782649,-369.9301999,-6.850559257407407,694.7747432287163,-2.0266801443356606,54,0.0,2.566147726032179,6.9999995,2.566147726032179
mp-1147673,-69.71276856,-4.979483468571429,183.41491381358426,-0.8075495292857136,14,0.0,4.610664923394116,1.39e-05,4.610664923394116
mp-781108,-359.59765597,-6.659215851296296,711.1419764389356,-1.8635572049970368,54,0.0,2.712325938829993,6.9999991,2.712325938829993
mp-557397,-44.37214613,-4.930238458888889,146.521756698775,-2.905530841566666,9,3.2754,2.8006817971084095,3.0000002,2.8006817971084095
mp-755492,-141.15731439,-6.416241563181819,310.47831898103755,-2.248769851366885,22,0.7072999999999999,2.7862538351456276,0.0,2.7862538351456276
mp-26304,-307.75127993,-6.280638365918367,614.5462230640526,-1.8843675223906704,49,0.0,3.5982887467129707,1.0,3.5982887467129707
mp-850937,-112.25347068,-5.612673534000001,280.8056860084281,-2.9967923589520002,20,1.6657,3.0025134226787316,0.9999999,3.0025134226787316
